time	value	outing	channel
194.7	-0.434661953	1	1
197.7	0.41591363	1	1
200.7	-0.911733428	1	1
203.7	-0.186753808	1	1
206.7	2.512959412	1	1
209.7	0.903056009	1	1
212.7	1.244064923	1	1
215.7	-2.653310563	1	1
218.7	1.679817705	1	1
221.7	-1.700649053	1	1
224.7	0.982753035	1	1
227.7	-0.228489912	1	1
230.7	0.893424229	1	1
233.7	-1.57951752	1	1
236.7	0.631887953	1	1
239.7	1.990759478	1	1
242.7	0.978448652	1	1
245.7	-0.636630948	1	1
248.7	0.360437602	1	1
251.7	0.567678501	1	1
254.7	-2.078961812	1	1
257.7	-0.336789527	1	1
260.7	0.126328092	1	1
263.7	-1.182805778	1	1
266.7	0.455888411	1	1
269.7	-0.574888151	1	1
272.7	-1.423888999	1	1
275.7	-0.311951664	1	1
278.7	-1.389294696	1	1
281.7	0.214218082	1	1
284.7	0.51899201	1	1
287.7	0.666980895	1	1
290.7	-0.387310528	1	1
293.7	-0.981379656	1	1
296.7	0.145528115	1	1
194.7	-0.435829313	1	2
197.7	0.248861623	1	2
200.7	-1.85718734	1	2
203.7	0.22466272	1	2
206.7	1.97619141	1	2
209.7	0.954494846	1	2
212.7	0.863482073	1	2
215.7	-2.638386497	1	2
218.7	1.629121539	1	2
221.7	-0.822771333	1	2
224.7	1.065938914	1	2
227.7	0.14650327	1	2
230.7	0.99316066	1	2
233.7	-1.329713921	1	2
236.7	-0.412479961	1	2
239.7	2.004460731	1	2
242.7	1.30020137	1	2
245.7	-0.425933999	1	2
248.7	0.626911389	1	2
251.7	0.602741926	1	2
254.7	-1.335502368	1	2
257.7	-0.913496015	1	2
260.7	-1.320523062	1	2
263.7	-1.287431205	1	2
266.7	0.46435123	1	2
269.7	-0.077443301	1	2
272.7	-0.254109382	1	2
275.7	-0.14013979	1	2
278.7	-1.487011346	1	2
281.7	0.019090155	1	2
284.7	-0.286977636	1	2
287.7	0.837882672	1	2
290.7	0.49755524	1	2
293.7	-0.136424754	1	2
296.7	-0.184702697	1	2
194.7	-0.391459799	1	3
197.7	0.202367799	1	3
200.7	-0.020698756	1	3
203.7	-0.36980336	1	3
206.7	2.20243888	1	3
209.7	-0.787408159	1	3
212.7	0.291739795	1	3
215.7	-2.5797247	1	3
218.7	0.788982445	1	3
221.7	-0.659549164	1	3
224.7	0.474202032	1	3
227.7	-0.492319574	1	3
230.7	0.530274088	1	3
233.7	-0.72367457	1	3
236.7	-0.105771814	1	3
239.7	1.90105309	1	3
242.7	2.570213573	1	3
245.7	0.13132029	1	3
248.7	0.487582087	1	3
251.7	-0.006349707	1	3
254.7	-1.310671991	1	3
257.7	-0.561198024	1	3
260.7	-0.376210073	1	3
263.7	-0.495866022	1	3
266.7	0.069101225	1	3
269.7	0.229551373	1	3
272.7	-0.662957974	1	3
275.7	-0.087266991	1	3
278.7	0.198053791	1	3
281.7	1.434852409	1	3
284.7	0.331353519	1	3
287.7	1.013392229	1	3
290.7	-1.336958907	1	3
293.7	-0.559138472	1	3
296.7	0.203984296	1	3
194.7	-0.174133898	1	4
199.7	-0.370343982	1	4
204.7	-0.7180034	1	4
209.7	-0.946983122	1	4
214.7	-1.829602307	1	4
219.7	1.436428233	1	4
224.7	-1.001557961	1	4
229.7	-0.819304584	1	4
234.7	0.231087055	1	4
239.7	1.65153942	1	4
244.7	0.699921952	1	4
249.7	-0.733738341	1	4
254.7	-0.011636367	1	4
259.7	1.059577062	1	4
264.7	0.92452332	1	4
269.7	0.217646977	1	4
274.7	0.483300249	1	4
279.7	1.081889044	1	4
284.7	1.241542196	1	4
289.7	-1.622153143	1	4
294.7	1.534319902	1	4
194.7	-0.748467102	1	5
200.7	0.862447055	1	5
206.7	-0.231100812	1	5
212.7	-0.996069456	1	5
218.7	1.050935257	1	5
224.7	-1.633744187	1	5
230.7	-0.949778291	1	5
236.7	1.905384099	1	5
242.7	1.04814049	1	5
248.7	-0.969457161	1	5
254.7	0.612686083	1	5
260.7	1.397062299	1	5
266.7	0.1455276	1	5
272.7	0.475341732	1	5
278.7	0.867741755	1	5
284.7	0.715947124	1	5
290.7	-1.030461373	1	5
296.7	-0.439520627	1	5
194.7	0.331569148	1	6
196.7	0.888536757	1	6
198.7	1.206411601	1	6
200.7	-0.638100907	1	6
202.7	-0.300133019	1	6
204.7	0.48696499	1	6
206.7	0.781132933	1	6
208.7	0.963126761	1	6
210.7	1.13904931	1	6
212.7	1.29299961	1	6
214.7	0.526861969	1	6
216.7	-1.143173532	1	6
218.7	-1.345549512	1	6
220.7	-0.23450538	1	6
222.7	0.568638154	1	6
224.7	1.009239574	1	6
226.7	1.251512534	1	6
228.7	1.296758021	1	6
230.7	1.311936219	1	6
232.7	1.197015573	1	6
234.7	-0.648508814	1	6
236.7	-1.635236273	1	6
238.7	-1.912491366	1	6
240.7	-1.749145039	1	6
242.7	-1.343236644	1	6
244.7	-0.311408252	1	6
246.7	0.531487706	1	6
248.7	0.998108895	1	6
250.7	1.267558058	1	6
252.7	1.449262777	1	6
254.7	-0.177840105	1	6
256.7	-1.06019938	1	6
258.7	-1.260840709	1	6
260.7	-1.420284071	1	6
262.7	-1.421006842	1	6
264.7	-1.090122114	1	6
266.7	-0.380071532	1	6
268.7	-0.429653647	1	6
270.7	-0.369085407	1	6
272.7	-0.462178358	1	6
274.7	-1.057019186	1	6
276.7	-1.532169077	1	6
278.7	-1.159652719	1	6
280.7	-1.18133586	1	6
282.7	-1.131753745	1	6
284.7	-1.083472618	1	6
286.7	-0.146471828	1	6
288.7	0.436660104	1	6
290.7	0.628628177	1	6
292.7	-0.847993709	1	6
294.7	-1.029842983	1	6
296.7	0.056916032	1	6
