time	value	outing	channel
387.64	-0.691789293	2	1
390.64	-0.093772068	2	1
393.64	0.428998888	2	1
396.64	-0.610842453	2	1
399.64	1.709614616	2	1
402.64	0.590311092	2	1
405.64	0.976343912	2	1
408.64	-0.426920177	2	1
411.64	0.428712573	2	1
414.64	-0.066156302	2	1
417.64	0.869013426	2	1
420.64	0.216556861	2	1
423.64	0.274779425	2	1
426.64	-1.144641379	2	1
429.64	-1.242114089	2	1
432.64	-0.129805991	2	1
435.64	-0.314969235	2	1
438.64	1.058390172	2	1
441.64	0.857885729	2	1
444.64	1.068995907	2	1
447.64	-0.939944345	2	1
450.64	0.004362545	2	1
453.64	0.415054683	2	1
456.64	-1.360554578	2	1
459.64	-0.412944606	2	1
462.64	0.156920413	2	1
465.64	1.096265843	2	1
468.64	0.249709132	2	1
471.64	0.682058298	2	1
474.64	-1.36711651	2	1
477.64	-0.572521224	2	1
387.64	0.055031375	2	2
390.64	0.336924797	2	2
393.64	-0.451010492	2	2
396.64	-0.600320589	2	2
399.64	1.740351817	2	2
402.64	0.92385351	2	2
405.64	0.705385565	2	2
408.64	-1.314792795	2	2
411.64	-0.257377912	2	2
414.64	0.298653618	2	2
417.64	0.726013828	2	2
420.64	0.51957559	2	2
423.64	0.512358607	2	2
426.64	NaN	2	2
429.64	NaN	2	2
432.64	NaN	2	2
435.64	NaN	2	2
438.64	0.625475843	2	2
441.64	0.821382305	2	2
444.64	0.9771825	2	2
447.64	-1.671924105	2	2
450.64	-0.514477324	2	2
453.64	0.893276662	2	2
456.64	-0.532453892	2	2
459.64	0.568336488	2	2
462.64	-0.684480873	2	2
465.64	0.052716137	2	2
468.64	0.62430806	2	2
471.64	0.785612817	2	2
474.64	-0.470778688	2	2
477.64	-0.344435924	2	2
387.64	-0.388380518	2	3
390.64	0.018308656	2	3
393.64	1.384425536	2	3
396.64	-0.615294919	2	3
399.64	2.368333277	2	3
402.64	-1.171585927	2	3
405.64	0.043697406	2	3
408.64	-1.114445919	2	3
411.64	0.076943597	2	3
414.64	0.188184519	2	3
417.64	0.365407457	2	3
420.64	-0.451633879	2	3
423.64	-0.606897975	2	3
426.64	-2.237539688	2	3
429.64	-1.449481774	2	3
432.64	1.528794099	2	3
435.64	0.257665764	2	3
438.64	0.722224831	2	3
441.64	0.125813751	2	3
444.64	0.232889857	2	3
447.64	-0.403529778	2	3
450.64	0.753447136	2	3
453.64	0.04509338	2	3
456.64	-2.068184239	2	3
459.64	0.861763494	2	3
462.64	0.171941184	2	3
465.64	1.237486551	2	3
468.64	0.265009825	2	3
471.64	0.05623003	2	3
474.64	-1.548849629	2	3
477.64	-0.18127097	2	3
387.64	-0.150028158	2	4
392.64	-0.084288714	2	4
397.64	-0.584932004	2	4
402.64	-0.727554492	2	4
407.64	-1.918007581	2	4
412.64	1.36737718	2	4
417.64	-0.44744925	2	4
422.64	-1.193636749	2	4
427.64	-0.091986847	2	4
432.64	1.960804447	2	4
437.64	-0.649422416	2	4
442.64	-1.331301511	2	4
447.64	0.352359157	2	4
452.64	-0.475862619	2	4
457.64	0.319212575	2	4
462.64	1.335785704	2	4
467.64	0.135360134	2	4
472.64	-0.376602374	2	4
477.64	0.225855213	2	4
387.64	-0.404623652	2	5
393.64	0.89189082	2	5
399.64	-0.075439594	2	5
405.64	-0.959884494	2	5
411.64	1.00102739	2	5
417.64	-0.911355269	2	5
423.64	-1.91090079	2	5
429.64	1.764627392	2	5
435.64	-0.416993297	2	5
441.64	-1.007865208	2	5
447.64	0.469330246	2	5
453.64	-0.926031635	2	5
459.64	1.154884284	2	5
465.64	0.497680851	2	5
471.64	-0.845534291	2	5
477.64	-0.403427236	2	5
387.64	0.301068197	2	6
389.64	0.87711697	2	6
391.64	1.060845449	2	6
393.64	-0.614683115	2	6
395.64	-0.295940945	2	6
397.64	0.501131309	2	6
399.64	0.78677055	2	6
401.64	0.984520794	2	6
403.64	1.139627527	2	6
405.64	1.255560053	2	6
407.64	0.71131322	2	6
409.64	-1.088242909	2	6
411.64	-1.287149587	2	6
413.64	-0.165408438	2	6
415.64	0.599572768	2	6
417.64	1.015455408	2	6
419.64	1.247031351	2	6
421.64	1.394043045	2	6
423.64	1.475571655	2	6
425.64	1.368023277	2	6
427.64	-0.744492851	2	6
429.64	-1.822434055	2	6
431.64	-1.430981087	2	6
433.64	-0.94108666	2	6
435.64	0.156224817	2	6
437.64	0.785903224	2	6
439.64	1.141651287	2	6
441.64	1.361229226	2	6
443.64	1.410955895	2	6
445.64	0.487832316	2	6
447.64	-0.575508907	2	6
449.64	-0.219038073	2	6
451.64	0.476846191	2	6
453.64	0.922507011	2	6
455.64	0.986255445	2	6
457.64	-0.830791751	2	6
459.64	-1.362317808	2	6
461.64	-0.907116406	2	6
463.64	-0.689273119	2	6
465.64	-0.789593783	2	6
467.64	0.144226812	2	6
469.64	0.716661728	2	6
471.64	0.777229968	2	6
473.64	-0.866062993	2	6
475.64	-0.809831381	2	6
477.64	0.2368861	2	6
